owl,1.0800
odapp,0.0100
p-plan,0.0155
conversion,0.0125
vso,0.0100
d2rq,0.0471
cmo,0.0000
vs,0.3327
date,0.0213
SAN,0.0000
infor,0.0200
frbre,0.0338
llont,0.0000
ignf,0.0189
ludo-xapi,0.0040
oslo,0.0000
dvia,0.0183
gold,0.0100
va,0.0000
vivo,0.0100
ui,0.0000
comm,0.0000
thors,0.0194
iso-thes,0.0192
cnt,0.0100
ptop,0.0133
parl,0.0100
osgeom,0.0160
pns,0.0172
oslc,0.0000
rdarel,0.0040
pnt,0.0172
jup,0.0000
situ,0.0200
kees,0.0000
pattern,0.0169
pni,0.0179
bibo,0.0842
xsd,0.6300
doc,0.0320
pnc,0.0172
gml,0.0267
pne,0.0072
part,0.0183
cwork,0.0225
essglobal,0.0000
pna,0.0172
con,0.0320
coo,0.0225
tzont,0.0450
tm,0.0294
ipo,0.0000
tl,0.0361
tp,0.0000
ssn,0.0133
passim,0.0000
te,0.0000
ti,0.0200
qudt,0.0200
dso,0.0240
loted,0.0000
xbrll,0.0033
cpa,0.0200
tmo,0.0000
limoo,0.0025
rss,0.0200
deps,0.0025
st,0.0017
hto,0.0000
ontopic,0.0000
pso,0.0054
msr,0.0000
sp,0.0250
fowl,0.1300
s4ee,0.0050
muto,0.0000
sd,0.0150
sf,0.0267
samfl,0.0094
cart,0.0000
lsq,0.0000
msm,0.0158
vdpp,0.0025
iol,0.0100
rdafrbr,0.0240
vrank,0.0000
dul,0.0400
rr,0.0331
osp,0.0013
vvo,0.0100
ru,0.0100
osr,0.0213
nsl,0.0045
gov,0.0000
demlab,0.0000
irw,0.0233
ro,0.0254
rdfa,0.0133
dqv,0.0035
ruto,0.0003
dqm,0.0063
rdfs,2.5430
rdfp,0.0011
hifm,0.0000
drm,0.0000
nrl,0.0340
dicom,0.0000
crm,0.0000
qu,0.0190
cfrl,0.0000
cal,0.0910
lsc,0.0013
rdfg,0.0200
prv,0.0357
r4r,0.0000
cro,0.0000
cbo,0.0000
mexalgo,0.0002
qb,0.0735
dsn,0.0000
service,0.0125
pro,0.0154
whisky,0.0315
elec,0.0000
swc,0.0420
pr,0.0247
airs,0.0000
pwo,0.0070
opo,0.0017
person,0.0260
test,0.0200
cito,0.0174
npg,0.0000
tag,0.0175
summa,0.0000
tac,0.0023
tis,0.0100
pubsub,0.0000
gts,0.0047
tio,0.0225
sam,0.0194
agls,0.0000
bbcprov,0.0200
qb4o,0.0000
cco,0.0597
crsw,0.0000
vin,0.1400
ctag,0.0050
dtype,0.0200
c4o,0.0154
seas-sys,0.0011
c4n,0.0165
pext,0.0033
pmlp,0.0240
shoah,0.0008
exif,0.0033
eli,0.0000
biotop,0.0000
cogs,0.0067
dbpedia-owl,0.0300
lingvo,0.0031
ludo-gp,0.0140
gso,0.0320
geosp,0.0040
h2o,0.0194
lmm2,0.0100
gsp,0.0467
lmm1,0.0200
sao,0.0200
cdm,0.0300
tao,0.0000
lemon,0.0100
vsearch,0.0000
osadm,0.0160
rlog,0.0117
aos,0.0000
ore,0.0220
emp,0.0000
itsmo,0.0000
mvco,0.0000
org,0.0937
gvp,0.0017
ceo,0.0125
identity,0.0000
prog,0.0008
igeo,0.0186
spin,0.0350
api,0.0236
datex,0.0017
deo,0.0154
limo,0.0000
lgdo,0.0100
prov,0.1101
mil,0.0000
juso,0.0133
g50k,0.0060
cfp,0.0033
cdtype,0.3200
wlo,0.0363
doap,0.0800
cff,0.0033
csvw,0.0000
orges,0.0001
lode,0.0367
dbug,0.0025
docso,0.0000
mls,0.0000
transit,0.0725
oecc,0.0000
chord,0.0244
dogont,0.0000
sioc,0.0400
vmm,0.0033
cold,0.0000
maso,0.0000
olo,0.0401
coll,0.0173
provoc,0.0000
poste,0.0083
moac,0.0006
marl,0.0000
daia,0.0025
trao,0.0000
ssso,0.0025
frad,0.0100
aws,0.0050
stories,0.0033
pproc,0.0002
food,0.0181
moat,0.0025
ctxdesc,0.0000
bbccms,0.0225
wikim,0.0033
cgov,0.0100
media,0.0000
skosxl,0.0100
botany,0.0025
onc,0.0120
turismo,0.0033
gndo,0.0200
seas-op,0.0011
wot,0.0100
dio,0.0000
eccrev,0.0000
w3c-ssn,0.0000
edac,0.0062
ont,0.0133
ludo-gm,0.0140
agrelon,0.0000
scip,0.0040
eclap,0.0000
lexinfo,0.0000
nif,0.0017
lio,0.0000
nie,0.0240
awol,0.0067
tsioc,0.0163
teach,0.0013
locn,0.0240
oml,0.0194
vcard,0.0575
omn,0.0133
lib,0.0000
spfood,0.0000
dcite,0.0065
bevon,0.0033
sdmx,0.0360
