cookingchanneltv,recipe1.html,http://www.cookingchanneltv.com/recipes/bbq-chicken-pizza
allrecipes,recipe2.html,http://allrecipes.com/recipe/15022/veggie-pizza/
bbc.co.uk,recipe3.html,http://www.bbc.co.uk/food/recipes/flower_power_pizza_13681
yummly.com,recipe4.html,http://www.yummly.co/#recipe/Pizza-1106814
bbc.co.uk,article1.html,http://www.bbc.com/news/science-environment-38920199
independent.co.uk,article2.html,http://www.independent.co.uk/news/science/nasa-announcement-press-conference-today-solar-system-exoplanet-sun-planets-news-latest-a7590281.html
hilton.com,hotel1.html,http://www3.hilton.com/en/hotels/berlin/hilton-berlin-BERHITW/index.html
opentable.de,restaurant1.html,https://www.opentable.de/neni
survey,article,http://www.nasa.gov/feature/jpl/nasas-curiosity-rover-team-confirms-ancient-lakes-on-mars
survey,museum,http://www.louvre.fr/en/expositions/winged-victory-samothracerediscovering-masterpiece
survey,hotel,http://www.mohr-life-resort.at/zimmer-und-preise/detail.html?rid=12
survey,recipe,http://www.cookingchanneltv.com/recipes/debi-mazar-and-gabriele-corcos/margherita-pizza.print.html
